Ano,Centro,Mes,Semana,Data Avaliação,Comentario,classificacao,NPS,tokens_nltk,tokens_limpos,tokens_lematizados,comentario_limpo,comentario_lematizado,categoria_nps
2024,L5082-VILA ANDRADE (1346),jan,1,2024-01-01,"Maior variedade, não tinha tudo o que eu procurava , apesar de muitas opções.",promotor,1,"['Maior', 'variedade', ',', 'não', 'tinha', 'tudo', 'o', 'que', 'eu', 'procurava', ',', 'apesar', 'de', 'muitas', 'opções', '.']","['maior', 'variedade', 'não', 'tudo', 'procurava', 'apesar', 'muitas', 'opções']","['grande', 'variedade', 'não', 'tudo', 'procurar', 'apesar', 'muito', 'opção']",maior variedade não tudo procurava apesar muitas opções,grande variedade não tudo procurar apesar muito opção,promotor
2024,L5082-VILA ANDRADE (1346),jan,1,2024-01-02,Nada a declarar,promotor,1,"['Nada', 'a', 'declarar']","['nada', 'declarar']","['nada', 'declarar']",nada declarar,nada declarar,promotor
2024,L5082-VILA ANDRADE (1346),jan,1,2024-01-02,Tudo certinho por enquanto tah ótimo.,promotor,1,"['Tudo', 'certinho', 'por', 'enquanto', 'tah', 'ótimo', '.']","['tudo', 'certinho', 'enquanto', 'tah', 'ótimo']","['tudo', 'certinho', 'enquanto', 'tah', 'bom']",tudo certinho enquanto tah ótimo,tudo certinho enquanto tah bom,promotor
2024,L5082-VILA ANDRADE (1346),jan,1,2024-01-02,Eu procurei paleta de cabrito mss a Swift nao tem!,neutro,0,"['Eu', 'procurei', 'paleta', 'de', 'cabrito', 'mss', 'a', 'Swift', 'nao', 'tem', '!']","['procurei', 'paleta', 'cabrito', 'mss', 'swift', 'nao']","['procurar', 'paleta', 'cabrito', 'mss', 'swift', 'nao']",procurei paleta cabrito mss swift nao,procurar paleta cabrito mss swift nao,neutro
2024,L5082-VILA ANDRADE (1346),jan,1,2024-01-03,Sempre sou muito bem atendida nesta loja.,promotor,1,"['Sempre', 'sou', 'muito', 'bem', 'atendida', 'nesta', 'loja', '.']","['sempre', 'bem', 'atendida', 'nesta', 'loja']","['sempre', 'bem', 'atendido', 'emeste', 'loja']",sempre bem atendida nesta loja,sempre bem atendido emeste loja,promotor
2024,L5082-VILA ANDRADE (1346),jan,1,2024-01-05,"Apenas gostaria de saber o motivo que ao escolher a loja para efetuar e retirar o pedido,não aparece a Loja Panamby que é ao lado da minha casa. Tenho que retirar na Loja Vila Andrade!!;Vocês podem me esclarecer isso, por favor!;Obrigado",promotor,1,"['Apenas', 'gostaria', 'de', 'saber', 'o', 'motivo', 'que', 'ao', 'escolher', 'a', 'loja', 'para', 'efetuar', 'e', 'retirar', 'o', 'pedido', ',', 'não', 'aparece', 'a', 'Loja', 'Panamby', 'que', 'é', 'ao', 'lado', 'da', 'minha', 'casa', '.', 'Tenho', 'que', 'retirar', 'na', 'Loja', 'Vila', 'Andrade', '!', '!', ';', 'Vocês', 'podem', 'me', 'esclarecer', 'isso', ',', 'por', 'favor', '!', ';', 'Obrigado']","['apenas', 'gostaria', 'saber', 'motivo', 'escolher', 'loja', 'efetuar', 'retirar', 'pedido', 'não', 'aparece', 'loja', 'panamby', 'lado', 'casa', 'retirar', 'loja', 'vila', 'andrade', 'podem', 'esclarecer', 'favor', 'obrigado']","['apenas', 'gostar', 'saber', 'motivo', 'escolher', 'loja', 'efetuar', 'retirar', 'pedir', 'não', 'aparecer', 'loja', 'panamby', 'lado', 'casa', 'retirar', 'loja', 'vila', 'andrade', 'poder', 'esclarecer', 'favor', 'obrigar']",apenas gostaria saber motivo escolher loja efetuar retirar pedido não aparece loja panamby lado casa retirar loja vila andrade podem esclarecer favor obrigado,apenas gostar saber motivo escolher loja efetuar retirar pedir não aparecer loja panamby lado casa retirar loja vila andrade poder esclarecer favor obrigar,promotor
2024,L5082-VILA ANDRADE (1346),jan,2,2024-01-08,"Adoro a marca, estratégia, preço, atendimento. Continuem nessa linha de facilitar a vida das pessoas, porém com qualidade.",promotor,1,"['Adoro', 'a', 'marca', ',', 'estratégia', ',', 'preço', ',', 'atendimento', '.', 'Continuem', 'nessa', 'linha', 'de', 'facilitar', 'a', 'vida', 'das', 'pessoas', ',', 'porém', 'com', 'qualidade', '.']","['adoro', 'marca', 'estratégia', 'preço', 'atendimento', 'continuem', 'nessa', 'linha', 'facilitar', 'vida', 'pessoas', 'porém', 'qualidade']","['adorar', 'marcar', 'estratégia', 'preço', 'atendimento', 'continuar', 'emesse', 'linha', 'facilitar', 'vida', 'pessoa', 'porém', 'qualidade']",adoro marca estratégia preço atendimento continuem nessa linha facilitar vida pessoas porém qualidade,adorar marcar estratégia preço atendimento continuar emesse linha facilitar vida pessoa porém qualidade,promotor
2024,L5082-VILA ANDRADE (1346),jan,2,2024-01-08,Ter mais produtos em promoção,promotor,1,"['Ter', 'mais', 'produtos', 'em', 'promoção']","['produtos', 'promoção']","['produto', 'promoção']",produtos promoção,produto promoção,promotor
2024,L5082-VILA ANDRADE (1346),jan,2,2024-01-09,O atendimento da equipe é diferenciado,promotor,1,"['O', 'atendimento', 'da', 'equipe', 'é', 'diferenciado']","['atendimento', 'equipe', 'diferenciado']","['atendimento', 'equipe', 'diferenciar']",atendimento equipe diferenciado,atendimento equipe diferenciar,promotor
2024,L5082-VILA ANDRADE (1346),jan,2,2024-01-14,Adoooro!!! Atendimento Maravilhoso 🥰,promotor,1,"['Adoooro', '!', '!', '!', 'Atendimento', 'Maravilhoso', '🥰']","['adoooro', 'atendimento', 'maravilhoso']","['adoooro', 'atendimento', 'maravilhoso']",adoooro atendimento maravilhoso,adoooro atendimento maravilhoso,promotor
